,artist,Lyricism,Flexing,Turn-Up,Sex & Romance,words_per_line,unique_words,Unique Word Rate,Syllables Per Line,syllables_per_word,cluster,tsne-2d-one,tsne-2d-two
0,03 Greedo,0.012388125000000002,0.040464375000000004,0.021359999999999997,0.011841875000000002,35.12581586280556,185.375,0.07081036771265267,9.21134725701006,0.26187629935245776,Archetypal,-15.686582,-5.3607106
1,070 Shake,0.015179411764705886,0.0018041176470588235,0.021861176470588235,0.03666529411764706,30.50700747115811,137.47058823529412,0.0712741754991259,8.091569605767937,0.26494870436626966,R&B,-2.1667154,-17.549976
2,2 Chainz,0.018328888888888888,0.02307111111111111,0.021966666666666666,0.006406666666666666,32.91618594265478,194.11111111111111,0.09077802075170746,8.641371183618617,0.2624616458277249,Archetypal,-2.7760623,-1.3792934
3,2 Pistols,0.013754545454545453,0.030430909090909095,0.01853181818181818,0.021854545454545456,28.376804306151882,178.27272727272728,0.08557387706059694,7.243026979210006,0.2552242580877139,Archetypal,-7.5128675,-5.7442856
4,21 Savage,0.007464285714285714,0.04644809523809523,0.04609761904761903,0.008801428571428573,33.42415519589855,189.0952380952381,0.0704403635010127,8.484019864624987,0.2537687339375604,Club & Trap,-14.01556,-11.704087
5,22Gz,0.010153333333333332,0.026434166666666672,0.005463333333333334,0.001853333333333333,34.16792211197245,188.08333333333334,0.0676947187276752,8.794027753931347,0.25620725267750494,Archetypal,-16.46875,-2.1161172
6,24kGoldn,0.023701428571428575,0.00978904761904762,0.017432380952380953,0.03171904761904762,33.72906464782332,119.42857142857143,0.07642903296417926,8.94504331651161,0.26531695600218946,R&B,6.8382864,-6.056612
7,2Mex,0.021562500000000002,0.0,0.0069275000000000005,0.0036125,29.063444896712028,222.25,0.11049109800319085,8.142407464857458,0.2812269191842679,Lyrical (Diverse),17.819317,3.8900688
8,360,0.006395,0.00148,0.0,0.030655,32.9811320754717,122.0,0.0697934871543119,7.811320754716981,0.23684241531664213,R&B,-4.3969483,-10.559889
9,40 Glocc,0.012356923076923073,0.04040076923076925,0.018238461538461537,0.01058,33.14471477700521,232.76923076923077,0.08888354702887523,8.60197917097952,0.2592636612601901,Archetypal,-10.45667,-0.5314362
10,50 Cent,0.02025913043478259,0.032948260869565225,0.0057843478260869545,0.0416391304347826,35.73568753460777,222.91304347826087,0.08719299370020715,9.333811211767982,0.2610264525948156,Archetypal,-0.5362146,-2.7602057
11,60 Second Assassin,0.0352715,0.034388,0.010685999999999998,0.0082305,36.679447642379465,358.8,0.08622984226939541,9.623977806708021,0.26200061776131756,Lyrical (Dense),-4.9055243,16.014275
12,6ix9ine,0.007789473684210526,0.03896105263157895,0.03271842105263158,0.015266315789473683,34.66172148478942,149.26315789473685,0.07803535192456691,8.722449791076897,0.2516684042039433,Club & Trap,-13.287463,-10.308398
13,6lack,0.026537777777777764,0.017189444444444445,0.026495555555555553,0.033258333333333334,32.01704161650671,190.88888888888889,0.08456796798149419,8.426556118883404,0.26255462655782086,Lyrical (Diverse),5.4371586,-10.520259
14,88-Keys,0.03412428571428571,0.010652857142857144,0.009514285714285713,0.02231285714285714,29.231788437688426,183.57142857142858,0.10456344164497684,7.712377571017209,0.2634255004285855,Lyrical (Diverse),11.099713,0.42715746
15,9lokkNine,0.01684,0.0319675,0.05971875000000001,0.00762375,41.77324696481797,228.125,0.08670237210188961,10.87010881462984,0.2599426804963118,Club & Trap,-17.91716,-10.987157
16,9th Prince,0.027697777777777773,0.014270555555555555,0.003148888888888889,0.005936111111111111,35.57506364123118,248.11111111111111,0.10977616283550175,9.442733833605754,0.2653365658322601,Lyrical (Dense),6.540148,12.788127
17,A$AP Ferg,0.019587777777777777,0.023855555555555557,0.026077777777777776,0.014368888888888888,36.08743494513554,195.44444444444446,0.08484058134337162,9.48067085249432,0.2627969172210476,Club & Trap,-10.997205,-8.527571
18,A$AP Mob,0.016404285714285715,0.03743928571428572,0.019270000000000002,0.00876857142857143,32.17414436513826,246.64285714285714,0.08419663161349492,8.30659866612429,0.25867001476423745,Archetypal,-10.376268,-0.5228319
19,A$AP Nast,0.01564,0.0317675,0.0055450000000000004,0.0073750000000000005,30.64708723653396,148.5,0.09091171875677273,7.851946721311475,0.2560741687440541,Archetypal,-6.902594,-1.11417
20,A$AP Twelvyy,0.018953,0.025988,0.016905,0.011174,31.409365862699513,191.6,0.09351228297041914,8.268183427442835,0.2632671941636951,Lyrical (Diverse),-2.4649987,-1.1780015
21,A$ton Matthews,0.020751851851851844,0.025492962962962964,0.006417777777777778,0.009675925925925925,36.66452149506983,210.4814814814815,0.10005365984183728,9.472625746086656,0.25820774124294077,Archetypal,-3.9539137,6.051657
22,A+,0.009018076923076922,0.006061153846153846,0.023968076923076922,0.06261653846153846,25.695111151127204,116.46153846153847,0.06289004163578565,7.007900114911194,0.27290167191220477,R&B,0.3464821,-22.03673
23,A-Q,0.013459473684210525,0.01097,0.022665789473684212,0.015042631578947368,25.849546768446682,111.57894736842105,0.08614389332661276,6.786716307338506,0.2618054550366768,R&B,-4.822973,-13.11687
24,A-Reece,0.02349125,0.019461562499999998,0.03498875,0.007572187500000001,34.049799608935444,187.84375,0.0867791484348023,9.068403528047627,0.26618705348091815,Club & Trap,-10.692448,-9.083907
25,A.CHAL,0.017293846153846153,0.004521538461538461,0.012901153846153847,0.017686923076923083,25.442654744074794,109.65384615384616,0.07566440506633108,6.8075165450828905,0.26806968278577037,R&B,8.287667,-16.44508
