,artist,Lyrical/Misc,Bragging/Combative,Money/Party,Romance/Sex,words_per_line,unique_words,unique_word_rate,syllables_per_line,syllables_per_word,tsne-2d-one,tsne-2d-two,cluster
140,Boldy James,-0.45993353380763924,0.620349335576724,-0.32063386756824125,-0.6730623691287235,1.3955422440811582,0.6482528618781672,1.3198952581465775,1.297903866172118,-0.5040796281043335,-7.483343,6.9416914,1
141,Bone Crusher,-1.1063711740311772,1.9164982635362302,-0.8334330205827734,-0.9745728891251902,0.09028020814930371,0.07428107448826683,-0.5174354583607469,0.12628460099182545,0.260732787880346,-8.669753,-2.9745688,2
142,Bones,0.39526185000852815,-0.4413624564540981,-0.534276169657781,-0.7318671795215221,-0.2119715854027246,-1.3422649294804507,1.8535641794551516,-0.3197812178854729,-0.8167710902580231,-3.1310492,5.9734545,3
143,Boogie,-0.5317018988422085,0.7310611532205239,1.954901229685112,1.3246657301517781,0.5419785920311778,-0.08912354544227834,-0.8917791984897094,0.5834063566822868,0.2527471320480173,4.8176227,-1.9185929,0
144,Boondox,1.2676308008411943,-0.6767720955524854,-0.7932632760919031,-0.3582989177349619,1.7869985855080528,0.1503109472197134,0.8629687016298297,1.8476480062752092,0.3804523136646883,-3.6085994,15.46452,1
145,Boosie Badazz,-0.5889756474358835,0.7284630486535265,-0.6536361174558248,0.03418160375514093,-0.36177917751223115,-0.44915664464698807,0.030589580016986168,-0.3624466792091472,0.11030341941819323,-4.9664826,-2.8263884,2
146,Boots Riley,-0.467127161789038,-1.1020114688336367,-0.3018541004355551,0.49681799025048695,-0.1818651968063434,-1.301827413240649,-0.5476257443305546,-0.3108874318718878,-0.9607895946014844,4.8770623,-8.905097,4
147,Bow Wow,2.3358186874679756,0.37970631077696765,0.7294849885902034,-1.049080452588009,1.1460223707271642,0.9299937768289841,1.1718522088673897,1.1127214290281486,-0.15749427785356185,-7.01696,11.575798,1
148,Braille,1.932447570769076,-0.08811510277591221,-0.5103130721953382,-0.8877740125787011,0.5569904756923143,0.5870614431966127,0.6843650740252024,0.694280216535869,1.0266138161863672,-0.3842151,15.858478,1
149,Brandun DeShay,1.387580919340391,-0.775139618331677,-0.32927743783713187,0.27416937933437024,0.2721159261453537,-0.04508296714376698,0.27771118254416344,0.3057296673034355,0.234509550568047,7.3741417,6.9674344,3
150,Brianna Perry,-1.2351340542552611,0.9427794648709042,0.9050825786754654,0.06424759701131397,-0.17773152141410342,-0.3419414674464346,-0.5828095354503929,-0.2717755794378673,-0.6561253945614318,-1.3610563,-5.0302315,0
151,Brisco,-0.12783625761557307,-0.37506019851031863,0.373455073009843,-0.21848182256544008,1.1939423144142702,-0.3671341047121383,0.047284606698581345,1.1915540315730562,0.359797656197225,4.199411,2.6960108,3
152,Brotha Lynch Hung,-0.20899270152354588,1.266444035366127,-0.47053838130869474,-1.0244478582905827,1.7895326681168322,0.5167224451820893,0.0621272290317395,1.8577659034674172,0.27807067692969073,-12.596407,2.8286552,1
153,Brother Ali,1.3800707717278113,-0.9128446645128472,-0.7659309052416274,-0.3877308662353923,1.1498052814333983,0.5942872383813494,1.1436308798922727,1.253927755171212,0.6235554724214719,-2.793744,14.901685,1
154,Bryson Tiller,-0.030892380125847767,0.8384392053763031,1.069076803777119,2.47284824432093,-0.306967712469946,-0.18383883689854583,-0.15923899405136402,-0.3088153670756527,-0.054126491165936534,11.854108,-5.3480644,0
155,Bubba Sparxxx,0.7335575795070023,-0.8358838209614514,-0.05430743994353808,0.07473634400457121,0.17136724596622674,0.5308775055855618,-0.11808786362546708,0.2154399355162115,0.3040817478949177,6.0192046,9.44359,3
156,Buckshot,0.7217515919999546,-1.0379055239743256,-0.4975367308822329,0.2509880145090369,0.24740147162967668,0.6384346642874595,0.10356395648926893,0.3095737781783586,0.4039028675789601,5.79832,9.828212,3
157,Buckwild,-0.0793468262908668,-0.9559814642728016,0.07621554001309445,-0.08696866839048047,-1.6867888294643165,-0.8416930857637684,2.343587012347823,-1.926477216820753,-2.0504287983986504,-2.508332,-12.114658,3
158,Bumpy Knuckles,0.5466592078873168,1.3899704295477588,-0.5450530493460649,-0.7397225885722938,0.36879074583926386,0.929253723837091,0.8982163978595176,0.3964410161548831,0.24223932728656694,-8.859163,3.2045953,2
159,Bun B,1.5781100989899937,-0.36179232952450563,-0.4655068931882666,-0.4303345832099554,0.6724373292309023,0.9018717631370357,-0.36477643464930526,0.7066650390699902,0.24411261686211136,-2.0739071,17.27474,1
160,Burna Boy,-1.6140291645138862,-0.9636770137194995,-0.6706543860984493,-0.04319912718761664,-1.3354192953487807,-1.3338283253728664,-0.4154141550288044,-0.9578373100648356,3.086301557590704,3.0759447,-19.213486,4
161,Busdriver,-0.05966608373299772,-0.8876824093258209,-0.6378836704477756,-0.6904082139290277,0.34804982826055414,0.7957750751174117,1.0328290025371356,0.6245438712589797,1.6816326500072651,0.46272278,12.527847,3
162,Bushwick Bill,0.8107689298784844,0.6777002375442841,-0.6212756217793192,-0.22182248848279262,0.042842960513676455,0.8690627471630961,0.729498976423804,0.00020384182735379587,-0.2673154530945347,-5.4294686,3.847963,3
163,Busta Rhymes,-0.2970944601761266,1.0003835002300947,-0.3405110252553278,-0.5223265882320491,0.5708728175377832,0.7964142117922289,-0.09570446395610206,0.6482551038664075,0.5410716596206949,-9.602281,2.6913118,2
164,Busy Bee Starski,0.9274211139912875,-0.7423604290295233,-0.06998685878036161,-0.23668504297223875,-0.8783426976954487,0.9053870148485292,-1.0137294421386802,-0.729064198328904,0.8751066864773613,11.210165,2.1851337,3
165,Butch Cassidy,-0.8703612867898594,-1.0783685157142633,-0.5437909289443393,2.777686444167042,-2.1013529458049893,-0.2862833153477865,0.6261101584406557,-1.9662387021595291,1.239821781769463,6.1010194,-14.985018,4
166,C-Bo,-2.000769113746087,0.47010583740986567,3.703814212721624,-0.8200334889974465,-0.04462095648487571,-0.9363705318599947,-1.7103390487383474,-0.21424861636112738,-1.1923351581068415,5.386162,-4.289266,0
167,C-Murder,0.44277169686202794,1.17193994694872,-0.4927361230164658,-0.6873067867953668,0.613219098556324,0.5236306789803289,0.932344231983622,0.5939483490397005,-0.08167331124287941,-8.300728,3.069153,2
